IdCliente;Sexo;Jubilado;Pareja;Dependientes;Antigüedad;Teléfono;MultiplesLíneas;Internet;SeguridadOnline;BackupOnline;SeguroDispositivo;SoporteTécnico;Televisión;Cine;Contrato;FacturaElectrónica;MétodoPago;CargoMensual;TotalFacturado;Baja
7590-VHVEG;Mujer;0;Sí;No;1;No;Sin servicio de telefonía;DSL;No;Sí;No;No;No;No;Mes a mes;Sí;Cheque electrónico;29.85;29.85;No
5575-GNVDE;Hombre;0;No;No;34;Sí;No;DSL;Sí;No;Sí;No;No;No;Un año;No;Cheque por correo;56.95;1889.5;No
3668-QPYBK;Hombre;0;No;No;2;Sí;No;DSL;Sí;Sí;No;No;No;No;Mes a mes;Sí;Cheque por correo;53.85;108.15;Sí
7795-CFOCW;Hombre;0;No;No;45;No;Sin servicio de telefonía;DSL;Sí;No;Sí;Sí;No;No;Un año;No;Transferencia bancaria (automática);42.3;1840.75;No
9237-HQITU;Mujer;0;No;No;2;Sí;No;Fibra óptica;No;No;No;No;No;No;Mes a mes;Sí;Cheque electrónico;70.7;151.65;Sí
9305-CDSKC;Mujer;0;No;No;8;Sí;Sí;Fibra óptica;No;No;Sí;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;99.65;820.5;Sí
1452-KIOVK;Hombre;0;No;Sí;22;Sí;Sí;Fibra óptica;No;Sí;No;No;Sí;No;Mes a mes;Sí;Tarjeta crédito (automática);89.1;1949.4;No
6713-OKOMC;Mujer;0;No;No;10;No;Sin servicio de telefonía;DSL;Sí;No;No;No;No;No;Mes a mes;No;Cheque por correo;29.75;301.9;No
7892-POOKP;Mujer;0;Sí;No;28;Sí;Sí;Fibra óptica;No;No;Sí;Sí;Sí;Sí;Mes a mes;Sí;Cheque electrónico;104.8;3046.05;Sí
6388-TABGU;Hombre;0;No;Sí;62;Sí;No;DSL;Sí;Sí;No;No;No;No;Un año;No;Transferencia bancaria (automática);56.15;3487.95;No
9763-GRSKD;Hombre;0;Sí;Sí;13;Sí;No;DSL;Sí;No;No;No;No;No;Mes a mes;Sí;Cheque por correo;49.95;587.45;No
7469-LKBCI;Hombre;0;No;No;16;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Tarjeta crédito (automática);18.95;326.8;No
8091-TTVAX;Hombre;0;Sí;No;58;Sí;Sí;Fibra óptica;No;No;Sí;No;Sí;Sí;Un año;No;Tarjeta crédito (automática);100.35;5681.1;No
0280-XJGEX;Hombre;0;No;No;49;Sí;Sí;Fibra óptica;No;Sí;Sí;No;Sí;Sí;Mes a mes;Sí;Transferencia bancaria (automática);103.7;5036.3;Sí
5129-JLPIS;Hombre;0;No;No;25;Sí;No;Fibra óptica;Sí;No;Sí;Sí;Sí;Sí;Mes a mes;Sí;Cheque electrónico;105.5;2686.05;No
3655-SNQYZ;Mujer;0;Sí;Sí;69;Sí;Sí;Fibra óptica;Sí;Sí;Sí;Sí;Sí;Sí;Dos años;No;Tarjeta crédito (automática);113.25;7895.15;No
8191-XWSZG;Mujer;0;No;No;52;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Un año;No;Cheque por correo;20.65;1022.95;No
9959-WOFKT;Hombre;0;No;Sí;71;Sí;Sí;Fibra óptica;Sí;No;Sí;No;Sí;Sí;Dos años;No;Transferencia bancaria (automática);106.7;7382.25;No
4190-MFLUW;Mujer;0;Sí;Sí;10;Sí;No;DSL;No;No;Sí;Sí;No;No;Mes a mes;No;Tarjeta crédito (automática);55.2;528.35;Sí
4183-MYFRB;Mujer;0;No;No;21;Sí;No;Fibra óptica;No;Sí;Sí;No;No;Sí;Mes a mes;Sí;Cheque electrónico;90.05;1862.9;No
8779-QRDMV;Hombre;1;No;No;1;No;Sin servicio de telefonía;DSL;No;No;Sí;No;No;Sí;Mes a mes;Sí;Cheque electrónico;39.65;39.65;Sí
1680-VDCWW;Hombre;0;Sí;No;12;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Un año;No;Transferencia bancaria (automática);19.8;202.25;No
1066-JKSGK;Hombre;0;No;No;1;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque por correo;20.15;20.15;Sí
3638-WEABW;Mujer;0;Sí;No;58;Sí;Sí;DSL;No;Sí;No;Sí;No;No;Dos años;Sí;Tarjeta crédito (automática);59.9;3505.1;No
6322-HRPFA;Hombre;0;Sí;Sí;49;Sí;No;DSL;Sí;Sí;No;Sí;No;No;Mes a mes;No;Tarjeta crédito (automática);59.6;2970.3;No
6865-JZNKO;Mujer;0;No;No;30;Sí;No;DSL;Sí;Sí;No;No;No;No;Mes a mes;Sí;Transferencia bancaria (automática);55.3;1530.6;No
6467-CHFZW;Hombre;0;Sí;Sí;47;Sí;Sí;Fibra óptica;No;Sí;No;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;99.35;4749.15;Sí
8665-UTDHZ;Hombre;0;Sí;Sí;1;No;Sin servicio de telefonía;DSL;No;Sí;No;No;No;No;Mes a mes;No;Cheque electrónico;30.2;30.2;Sí
5248-YGIJN;Hombre;0;Sí;No;72;Sí;Sí;DSL;Sí;Sí;Sí;Sí;Sí;Sí;Dos años;Sí;Tarjeta crédito (automática);90.25;6369.45;No
8773-HHUOZ;Mujer;0;No;Sí;17;Sí;No;DSL;No;No;No;No;Sí;Sí;Mes a mes;Sí;Cheque por correo;64.7;1093.1;Sí
3841-NFECX;Mujer;1;Sí;No;71;Sí;Sí;Fibra óptica;Sí;Sí;Sí;Sí;No;No;Dos años;Sí;Tarjeta crédito (automática);96.35;6766.95;No
4929-XIHVW;Hombre;1;Sí;No;2;Sí;No;Fibra óptica;No;No;Sí;No;Sí;Sí;Mes a mes;Sí;Tarjeta crédito (automática);95.5;181.65;No
6827-IEAUQ;Mujer;0;Sí;Sí;27;Sí;No;DSL;Sí;Sí;Sí;Sí;No;No;Un año;No;Cheque por correo;66.15;1874.45;No
7310-EGVHZ;Hombre;0;No;No;1;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Transferencia bancaria (automática);20.2;20.2;No
3413-BMNZE;Hombre;1;No;No;1;Sí;No;DSL;No;No;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);45.25;45.25;No
6234-RAAPL;Mujer;0;Sí;Sí;72;Sí;Sí;Fibra óptica;Sí;Sí;No;Sí;Sí;No;Dos años;No;Transferencia bancaria (automática);99.9;7251.7;No
6047-YHPVI;Hombre;0;No;No;5;Sí;No;Fibra óptica;No;No;No;No;No;No;Mes a mes;Sí;Cheque electrónico;69.7;316.9;Sí
6572-ADKRS;Mujer;0;No;No;46;Sí;No;Fibra óptica;No;No;Sí;No;No;No;Mes a mes;Sí;Tarjeta crédito (automática);74.8;3548.3;No
5380-WJKOV;Hombre;0;No;No;34;Sí;Sí;Fibra óptica;No;Sí;Sí;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;106.35;3549.25;Sí
8168-UQWWF;Mujer;0;No;No;11;Sí;Sí;Fibra óptica;No;No;Sí;No;Sí;Sí;Mes a mes;Sí;Transferencia bancaria (automática);97.85;1105.4;Sí
8865-TNMNX;Hombre;0;Sí;Sí;10;Sí;No;DSL;No;Sí;No;No;No;No;Un año;No;Cheque por correo;49.55;475.7;No
9489-DEDVP;Mujer;0;Sí;Sí;70;Sí;Sí;DSL;Sí;Sí;No;No;Sí;No;Dos años;Sí;Tarjeta crédito (automática);69.2;4872.35;No
9867-JCZSP;Mujer;0;Sí;Sí;17;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Un año;No;Cheque por correo;20.75;418.25;No
4671-VJLCL;Mujer;0;No;No;63;Sí;Sí;DSL;Sí;Sí;Sí;Sí;Sí;No;Dos años;Sí;Tarjeta crédito (automática);79.85;4861.45;No
4080-IIARD;Mujer;0;Sí;No;13;Sí;Sí;DSL;Sí;Sí;No;Sí;Sí;No;Mes a mes;Sí;Cheque electrónico;76.2;981.45;No
3714-NTNFO;Mujer;0;No;No;49;Sí;Sí;Fibra óptica;No;No;No;No;No;Sí;Mes a mes;Sí;Cheque electrónico;84.5;3906.7;No
5948-UJZLF;Hombre;0;No;No;2;Sí;No;DSL;No;Sí;No;No;No;No;Mes a mes;No;Cheque por correo;49.25;97;No
7760-OYPDY;Mujer;0;No;No;2;Sí;No;Fibra óptica;No;No;No;No;Sí;No;Mes a mes;Sí;Cheque electrónico;80.65;144.15;Sí
7639-LIAYI;Hombre;0;No;No;52;Sí;Sí;DSL;Sí;No;No;Sí;Sí;Sí;Dos años;Sí;Tarjeta crédito (automática);79.75;4217.8;No
2954-PIBKO;Mujer;0;Sí;Sí;69;Sí;Sí;DSL;Sí;No;Sí;Sí;No;No;Dos años;Sí;Tarjeta crédito (automática);64.15;4254.1;No
8012-SOUDQ;Mujer;1;No;No;43;Sí;Sí;Fibra óptica;No;Sí;No;No;Sí;No;Mes a mes;Sí;Cheque electrónico;90.25;3838.75;No
9420-LOJKX;Mujer;0;No;No;15;Sí;No;Fibra óptica;Sí;Sí;No;No;Sí;Sí;Mes a mes;Sí;Tarjeta crédito (automática);99.1;1426.4;Sí
6575-SUVOI;Mujer;1;Sí;No;25;Sí;Sí;DSL;Sí;No;No;Sí;Sí;No;Mes a mes;Sí;Tarjeta crédito (automática);69.5;1752.65;No
7495-OOKFY;Mujer;1;Sí;No;8;Sí;Sí;Fibra óptica;No;Sí;No;No;No;No;Mes a mes;Sí;Tarjeta crédito (automática);80.65;633.3;Sí
4667-QONEA;Mujer;1;Sí;Sí;60;Sí;No;DSL;Sí;Sí;Sí;Sí;No;Sí;Un año;Sí;Tarjeta crédito (automática);74.85;4456.35;No
1658-BYGOY;Hombre;1;No;No;18;Sí;Sí;Fibra óptica;No;No;No;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;95.45;1752.55;Sí
8769-KKTPH;Mujer;0;Sí;Sí;63;Sí;Sí;Fibra óptica;Sí;No;No;No;Sí;Sí;Un año;Sí;Tarjeta crédito (automática);99.65;6311.2;No
5067-XJQFU;Hombre;1;Sí;Sí;66;Sí;Sí;Fibra óptica;No;Sí;Sí;Sí;Sí;Sí;Un año;Sí;Cheque electrónico;108.45;7076.35;No
3957-SQXML;Mujer;0;Sí;Sí;34;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Tarjeta crédito (automática);24.95;894.3;No
5954-BDFSG;Mujer;0;No;No;72;Sí;Sí;Fibra óptica;No;No;Sí;Sí;Sí;Sí;Dos años;Sí;Tarjeta crédito (automática);107.5;7853.7;No
0434-CSFON;Mujer;0;Sí;No;47;Sí;Sí;Fibra óptica;No;No;Sí;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;100.5;4707.1;No
1215-FIGMP;Hombre;0;No;No;60;Sí;Sí;Fibra óptica;No;Sí;No;No;Sí;No;Mes a mes;Sí;Transferencia bancaria (automática);89.9;5450.7;No
0526-SXDJP;Hombre;0;Sí;No;72;No;Sin servicio de telefonía;DSL;Sí;Sí;Sí;No;No;No;Dos años;No;Transferencia bancaria (automática);42.1;2962;No
0557-ASKVU;Mujer;0;Sí;Sí;18;Sí;No;DSL;No;No;Sí;Sí;No;No;Un año;Sí;Tarjeta crédito (automática);54.4;957.1;No
5698-BQJOH;Mujer;0;No;No;9;Sí;Sí;Fibra óptica;No;No;No;No;Sí;Sí;Mes a mes;No;Cheque electrónico;94.4;857.25;Sí
5122-CYFXA;Mujer;0;No;No;3;Sí;No;DSL;No;Sí;No;Sí;Sí;Sí;Mes a mes;Sí;Cheque electrónico;75.3;244.1;No
8627-ZYGSZ;Hombre;0;Sí;No;47;Sí;Sí;Fibra óptica;No;Sí;No;No;No;No;Un año;Sí;Cheque electrónico;78.9;3650.35;No
3410-YOQBQ;Mujer;0;No;No;31;Sí;No;DSL;No;Sí;Sí;Sí;Sí;Sí;Dos años;No;Cheque por correo;79.2;2497.2;No
3170-NMYVV;Mujer;0;Sí;Sí;50;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Transferencia bancaria (automática);20.15;930.9;No
7410-OIEDU;Hombre;0;No;No;10;Sí;No;Fibra óptica;Sí;No;Sí;No;No;No;Mes a mes;Sí;Cheque por correo;79.85;887.35;No
2273-QCKXA;Hombre;0;No;No;1;Sí;No;DSL;No;No;No;Sí;No;No;Mes a mes;No;Cheque por correo;49.05;49.05;No
0731-EBJQB;Mujer;0;Sí;Sí;52;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Un año;Sí;Cheque electrónico;20.4;1090.65;No
1891-QRQSA;Hombre;1;Sí;Sí;64;Sí;Sí;Fibra óptica;Sí;No;Sí;Sí;Sí;Sí;Dos años;Sí;Transferencia bancaria (automática);111.6;7099;No
8028-PNXHQ;Hombre;0;Sí;Sí;62;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;Sí;Transferencia bancaria (automática);24.25;1424.6;No
5630-AHZIL;Mujer;0;No;Sí;3;Sí;No;DSL;Sí;No;No;Sí;No;Sí;Mes a mes;Sí;Transferencia bancaria (automática);64.5;177.4;No
2673-CXQEU;Mujer;1;No;No;56;Sí;Sí;Fibra óptica;Sí;Sí;Sí;No;Sí;Sí;Un año;No;Cheque electrónico;110.5;6139.5;No
6416-JNVRK;Mujer;0;No;No;46;Sí;No;DSL;No;No;No;No;No;Sí;Un año;No;Tarjeta crédito (automática);55.65;2688.85;No
5590-ZSKRV;Mujer;0;Sí;Sí;8;Sí;No;DSL;Sí;Sí;No;No;No;No;Mes a mes;No;Cheque por correo;54.65;482.25;No
0191-ZHSKZ;Hombre;1;No;No;30;Sí;No;DSL;Sí;Sí;No;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;74.75;2111.3;No
3887-PBQAO;Mujer;0;Sí;Sí;45;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Un año;Sí;Tarjeta crédito (automática);25.9;1216.6;No
5919-TMRGD;Mujer;0;No;Sí;1;Sí;No;Fibra óptica;No;No;No;No;Sí;No;Mes a mes;Sí;Cheque electrónico;79.35;79.35;Sí
8108-UXRQN;Mujer;0;Sí;Sí;11;No;Sin servicio de telefonía;DSL;Sí;No;No;No;Sí;Sí;Mes a mes;No;Cheque electrónico;50.55;565.35;No
9191-MYQKX;Mujer;0;Sí;No;7;Sí;No;Fibra óptica;No;No;Sí;No;No;No;Mes a mes;Sí;Transferencia bancaria (automática);75.15;496.9;Sí
9919-YLNNG;Mujer;0;No;No;42;Sí;No;Fibra óptica;No;Sí;Sí;Sí;Sí;Sí;Mes a mes;Sí;Transferencia bancaria (automática);103.8;4327.5;No
